,index,Variable,Feature Importance Score
0,1,Parcel_count,0.6670989270776907
1,14,E2E_TAT_day,0.21061757997391897
2,0,active_length,0.08113631947864954
3,17,E2E_TAT_OSD_day,0.028442023765959112
4,27,creation_to_received_in_hours,0.01270514970378166
5,16,E2E_TAT_SUB_day,0.0
6,26,damaged,0.0
7,25,area_changes,0.0
8,24,issues_resolved,0.0
9,23,issues_raised,0.0
10,22,return_tat_in_days,0.0
11,21,Extend_of_breach_in_hr_OSD,0.0
12,20,Extend_of_breach_in_hr_SUB,0.0
13,19,Extend_of_breach_in_hr_ISD,0.0
14,18,Extend_of_breach_in_hr,0.0
15,3,ISD,0.0
16,4,SUBURBS,0.0
17,2,Average_days_between_parcels,0.0
18,13,second_mile_tat_hr,0.0
19,12,Issue_resolution_tat,0.0
20,11,number_of_times_issues_raised,0.0
21,10,Issue_parcels,0.0
22,9,SLA_AVG,0.0
23,8,Success_Rate_of_OSD_HUB,0.0
24,7,Success_Rate_of_SUBURB,0.0
25,6,Success_Rate_of_ISD,0.0
26,5,OSD,0.0
27,15,E2E_TAT_ISD_day,0.0
